filename;date;text;poison
JR_201088.txt;20/10/1888;"Hampstead Rd



Dear Boss



You have not caught me Just yet, but just to give you a little clue I am living in Hampstead Road.



Yours truly



Jack the Ripper



[Down left side  'Two more murders on Oct 27 What a lark']";X
JR_201088_2.txt;20/10/1888;"Please let all the people know I am in Waltham  I was going to do two women if they were not to Saucy I nearly had one in the Victoria Road the other night had it not a been for a girl being with her just the Length I want I wish she had,: not a fine to high up . excuse this note as my

right hand is very bad got bye I am ready when she comes ... her self her face is to [illegible] I send [illeg.] & lock of her hair to her husband I saw her my knife is sharp blood more blood ha ha ha Good bye



Jack Ripper



Let Mr Lusk have a note to night as I cant Write with my hand no red ink now all gone right [?] ... [illegible]



[Down right side of page  'this morning the pretty women I am not to good as in [illegible] keep this quiret till I have done one']";X
JR_201088_3.txt;20/10/1888;"Dear Boss



Since last no success [ ] am going to have a try in the slums of Brentford



Yours truly



Jack the Ripper";
JR_201088_4.txt;20/10/1888;"Dear Old Baskett



Yer only tried ter get yer name in the papers when yer thought you had me in the Three Tuns Hotel I'd like to punch yer bleeding nose



Jack the Riper";
JR_221088.txt;22/10/1888;"22/10/88



Dear Sir



Take my advice and trouble yourself no more about me. Talk about having caught a ""Jack the Ripper"" at Bradford, why I'm all safe and sound its all bosh. If I was in your place I'd let my men search the different houses and alleys where if they looked they would find two more women which I killed & cut up before a bobby's nose. he was rather drunk. if I ketch any of your bloodhounds I'll kill and eat them them, wont you come and help me to kill a few women,

it's a jolly nice lark.



Yours



Jack the Ripper



I have disguised my writting a bit because you were almost on me";
UNK_221088.txt;22/10/1888;"One of the two women I told you about is a Chelsea girl and the other a Battersea girl. I had to over come great difficulties in bringing the bodies where I hid them. I am now in Battersea.



Good bye ta ta.";
JR_231088.txt;23/10/1888;"23/10/88



Dear Sirs



I Jack the Ripper thanks you for your trouble in trying to catch me, but it wont do.



I suppose you would like to know why I am killing so many women, the answer is simply this. ""When I was at San Francisco in July, 1888, I lent three women from London about 100 sterling to pay some debts. they had got into, promising to pay me back in a months time, and seeing that they had a ladylike look I lent the money. Well when the month passed by I asked for my money but I

found that they had sneaked off to London so I swore that I would have my revenge, the revenge was this. that I would go to London and kill as many women as possible. I've killed 9 as yet. you've not found all the corpses yet. Ha. Ha. I've told Sir C. Warren that in a letter of the 22nd inst. In the last women I killed cut out the kidneys and eat them, you'ill find the body in one of the sewers in the East End. The leg you found at Whitehall does not belong to the trunk you found there. The police alias po-lice, think themselves devilish clever I suppose they'ill never catch me at this rate you donkeys, you double-faced asses, you had better take the blood-hounds away or I will kill them. I am on the scent of those women that swindled me so basely, living like well to do ladies on the money they sneaked from me, never mind, that, I'll have em yet, afore I'm done, damn em, To tell you the truth you ought to be obliged to me for killing such a deuced lot of vermin, why they are ten times worse than men.



I remain. etc.



Jack the Ripper



Alias



H.I.O. Battersea.";
JR_241088.txt;24/10/1888;"Dear Boss



I am going to do Jack the ripper in this town to day I will visit Eagle Street and will cut some ladies ther I will warn them to look out I will do for as many as I can they say they have got a clue of me but they have not, I will keep on my work till I do get buttled



[Drawing of crossbones (?), coffin, crossed clubs] Jack the Ripper";X
JR_261088.txt;26/10/1888;Dear ol Boss, - I am known as 'Jack the Ripper', and I am going to pay Glasgow a trip. I hear there are fine women in Saltmarket, Glasgow, so I am going to pay you a visit. - Yours truly, Jack the Ripper.;X
JR_261088_2.txt;26/10/1888;"Dear Boss



If you are Willing enough to catch me I am now in Goswell Road by Carter P. office 12 o'clock I am the man from texas, the mysterious murders in Whitechapel caused i give myself up to night



My height is 5ft 7 1/2 inch Dark complexion age 38 years



Yours

Truly



Jack the

Ripper";
UNK_271088.txt;27/10/1888;"MANSELL STREET

ALDGATE



HONd. SIR



YEW HAVE'NT CAUGHT ME YIT, ALTHOUGH YOU ARE SO BIG BEWARE. FOR I START AGAIN ONE NIGHT NEXT WEEK. YOU WILL KNOW WHEN I DO. CLAPHAM COMMON IS MY NEXT PLACE, BEWARE OF J. the R.'s VENGENCE";X
JR_291088.txt;29/10/1888;"Old boss you was rite it was the left kidny i was goin to hopperate agin close to your ospitle just as i was goin to dror mi nife along of er bloomin throte them cusses of coppers spoilt the game but i guess i wil be on the job soon and will send you another bit of innerds



Jack the Ripper



O have you seen the devle with his mikerscope and scalpul a lookin at a kidney with a slide cocked up.";
JR_311088.txt;31/10/1888;"Dear Boss,



I am living in 129 C Rd..,. and I mean to do another murder in PEN Rd to night



Yours truly



Jack the ripper";X
JR_311088_2.txt;31/10/1888;"Dear Old Boss,



I daresay you are in a bit of a fix not being able to catch me, shall take a rest for some time yet and then commence work again, it is no good your'e tryin to catch me because it wont do 



Jack the Ripper";
UNK_311088.txt;31/10/1888;"C / h / h / h/



Sir, You had mind yourself for I am going to ripe another holy womem again two night and I take joly yer wont catch me for I think you have had a gud fist now I willnt say where yer no I have got another one wo not me so catch me if you can I'm Jack the riper as yer call me



I make yer swear don't forget [Drawing of knife after signature]";X
RI_021188.txt;02/11/1888;"Important



Sir Chas Warren



Sir Charles Warren



I must have some more Blood tomorrow night -



Lookout Ripper";X
UNK_031188.txt;03/11/1888;"at a meeting of the council of midnight wanderers of Belfast the following resolution was unanimously passed 



That this Council tenders hearty fraternal congratulation to 'Jack the Ripper' on the grand success he has recently scored.



[Large red blot across bottom of page]";
JT_041188.txt;04/11/1888;"['October 27.' Deleted] Nov. 3rd 1888



To Mr Charles warren head Police Scotland yard detectivs.



I. hame pleased to year that I was caught at neath on saturday night at the falcon hotel old market st but you have not had the pleasure of catching me yet by the time you have had this one or two more will feel my knife I have been helpin the police in the seaorch with blood - hounds and rejoices in hearing them say they were on the right track J. T. Ripper



Ah! ah. over next one I copp I'll send the toes and earoles to you for supper



J. T. Ripper



[Drawing of hand holding knife]";
JR_051188.txt;05/11/1888;"Keep a extra look out in Whitechapel tonight



Jack the Ripper



P.S. THERE IS ONE OLD WHORE WHO I HAVE GOT MY EYE ON SO LOOK OUT



J.T.R.";X
JR_071188.txt;07/11/1888;"7 .11 . 88



Dear Boss



I am writing you this while I am in bed with a sore throat but as soon as it is better I will set to work again on the 13th of this month . and I think that my next Job will be to polish you off and as I am a member of the force I can soon settle accounts with you I will tear your liver out before you are dead and show it to you and I will have your kidneys out also and frie them with pepper and salt and send them to lord Sablisbrury as it is Just the sort of thing that will suit that old Jew and I will cut of your toes and slick of your behind and make macaroni soup of them and I will hide your body in the houses of parliament so you grey headed old pig say your prayers before I am ready



[Written at right angles down third page] & I cannot say any more at present boss yours truly 



Jack the Ripper



[crude drawing of profile of man with buttons down front of jacket]  this is yourportrait.";X
JR_081188.txt;08/11/1888;"Your friend Jack the Ripper



I am very please to send you this little as I am your friend I have been having a nice rest but now my rest is over I am going to make a fresh start again. Now first of all I am going to settle 4 of Barratts girls at woodgreen next month and then after I have done this I am going to slay 2

boys and 3 girls between 14 and 15 years of age and after this I and going to France and start my work there. I often laugh to myself when I hear that the men have calling out Cleaver capture of Jack the Ripper";X
JR_081188_2.txt;08/11/1888;"Whitechapel

8/11/88



Dear Boss



I am still knocking about Down Whitechapel I mean to put to Death all the dirty old ores because I have cought the pox and cannot piss I have not done any murders lately but you will find one done before long. I shall send you the kidney and cunt so that you can see where my prick has been up I am in one of the lodging houses in Osborn street but you will have a job to catch me I shoudent advise any coppers to catch hold of me because I shall do the same to him as I have done others. Old packer the man I bought the grapes off saw me the other night but was to frighten to say anything to the police. he must have been a fool when there is such a reward offered never mind the reward will not be given. You will hear from me a little later on that I have done

another murder. But not just yet. Dear Boss if I see you about I shall cut your throat. The Old Queen is none but one of those old ores I have Been up her arse and shot sponk up her



I remain Dear

Old Boss



Jack the Ripper";
JR_091188.txt;09/11/1888;"Dear Boss



Be good enough to send a fiew of your clever policmen down here the time is nearley up for another job so look out, the knife is in good condishion and so am I Boss, the police pass me close every day, and I shall pass one going to post this, now then Boss just keep this letter

a bit quiert till you here of me again I tell you that I don't like to be made so publick Greenwich is a nice place and I am not far off South Street Black Heath Hills



Good buy old Boss



Jack the Ripper and the Beester



[drawing of knife] Novr 9th



P.S. Ecxcuse red ink";
UNK_101188.txt;10/11/1888;"10/11/88



WELL YOU SEE I'VE KEPT MY WORD, AND DONE FOR THE ONE I SAID I WOULD. I SUPPOSE YOU TOOK NO NOTICE OF WHAT I SAID. THOSE OTHER LETTERS WERE NOT WRITTEN BY ME AT ALL AND HAS SOME ONE HAS BEEN KIND ENOUGH TO GIVE ME THE NAME OF ""JACK THE RIPPER"" I'LL ACCEPT IT AND ACT UP TO IT. LOOK OUT FOR

THE NEXT 



P.S. YOU CAN'T TRACE ME BY THIS WRITING SO ITS NO USE ON THE POLICE STATIONS";
JR_111188.txt;11/11/1888;"From Jack ['sheridan' deleted]



The ripper



Folkestone.



Nov 11 1888



Dear Boss I am getting on the move Lively baint i made a good Job Last time getting better Each time a good Joke i played on them three Laides one ['death' smudged out] Died two frighened Next time a woman and her Daughter tata



Dear Boss [Drawing of stick man with knife standing over fallen victim, 'P' and man with knife, ?]";X
